Ticker,
XLK.MX,
XLE.MX,
X.MX,
WFC.MX,
VGK.MX,
V.MX,
UNH.MX,
TWTR.MX,
TSLA.MX,
T.MX,
SLV.MX,
SHY.MX,
SBUX.MX,
QQQ.MX,
PFE.MX,
NVDA.MX,
NKE.MX,
NFLX.MX,
MU.MX,
MSFT.MX,
MCD.MX,
MA.MX,
JPM.MX,
IVV.MX,
IAU.MX,
HD.MX,
GOOGL.MX,
GILD.MX,
FB.MX,
EMB.MX,
EEM.MX,
DIS.MX,
CSCO.MX,
COST.MX,
BAC.MX,
BABAN.MX,
AXP.MX,
AMZN.MX,
AGNN.MX,
AAPL.MX,
WALMEX.MX,
VINTE.MX,
TERRA13.MX,
SPORTS.MX,
SORIANAB.MX,
SMARTRC14.MX,
RA.MX,
OMAB.MX,
NAFTRACISHRS.MX,
MEXCHEM.MX,
MEGACPO.MX,
LIVEPOLC-1.MX,
LALAB.MX,
LACOMERUBC.MX,
LABB.MX,
KIMBERA.MX,
GRUMAB.MX,
GMEXICOB.MX,
GFNORTEO.MX,
GENTERA.MX,
GAPB.MX,
FUNO11.MX,
FIBRAMQ12.MX,
FEMSAUBD.MX,
ELEKTRA.MX,
DIABLOI10.MX,
CUERVO.MX,
CHDRAUIB.MX,
CEMEXCPO.MX,
CADUA.MX,
BOLSAA.MX,
BIMBOA.MX,
BBAJIOO.MX,
BACHOCOB.MX,
ASURB.MX,
ANGELD10.MX,
AMXL.MX,
ALSEA.MX,
ALFAA.MX,
AEROMEX.MX,
ACTINVRB.MX,
AC.MX